epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.929,1.30126,2.03595,1.33085,0.55821,0.38401,0.43673,0.27406,1.51892,1.84088,1.42103,0.000551781,0.000551781,0.000551781
2,193.652,1.31744,1.51984,1.34413,0.49311,0.4053,0.43799,0.24619,1.63736,1.96911,1.55474,0.00109374,0.00109374,0.00109374
3,279.824,1.32401,1.46441,1.33105,0.45303,0.33358,0.30611,0.18669,1.76509,2.56635,1.6159,0.00162195,0.00162195,0.00162195
4,365.356,1.32872,1.45673,1.3347,0.37554,0.39835,0.35838,0.22337,1.65181,2.30246,1.55445,0.00160511,0.00160511,0.00160511
5,449.892,1.27157,1.37789,1.30037,0.67041,0.47445,0.52063,0.31675,1.47001,1.53152,1.39212,0.00158448,0.00158448,0.00158448
6,535.907,1.24666,1.31456,1.27765,0.58831,0.3869,0.43208,0.23408,1.70534,1.9045,1.49807,0.00156385,0.00156385,0.00156385
7,626.578,1.20303,1.24676,1.24576,0.70163,0.59245,0.65684,0.41171,1.29823,1.23496,1.25251,0.00154323,0.00154323,0.00154323
8,720.407,1.17909,1.18324,1.23645,0.72848,0.58179,0.64219,0.41119,1.31635,1.21592,1.27623,0.0015226,0.0015226,0.0015226
9,813.467,1.15139,1.15339,1.21721,0.72522,0.63493,0.69601,0.43169,1.33605,1.16752,1.26279,0.00150197,0.00150197,0.00150197
10,918.45,1.12513,1.10648,1.19398,0.74033,0.65472,0.73476,0.45663,1.29862,1.12221,1.25685,0.00148134,0.00148134,0.00148134
11,1013.29,1.12082,1.08263,1.19688,0.79743,0.62309,0.74331,0.47227,1.27291,1.06547,1.22312,0.00146071,0.00146071,0.00146071
12,1098.86,1.11977,1.07731,1.19179,0.76543,0.62519,0.70849,0.44669,1.28055,1.15356,1.23694,0.00144008,0.00144008,0.00144008
13,1178.37,1.09126,1.04382,1.18311,0.80678,0.66028,0.76369,0.48974,1.22315,1.03359,1.19128,0.00141945,0.00141945,0.00141945
14,1256.99,1.08139,1.01449,1.17062,0.81799,0.673,0.77154,0.50036,1.24361,1.04629,1.19179,0.00139882,0.00139882,0.00139882
15,1335.44,1.07611,1.00535,1.16355,0.85207,0.70702,0.8155,0.52482,1.20578,0.92853,1.17525,0.00137819,0.00137819,0.00137819
16,1414.67,1.05921,0.9666,1.15853,0.83753,0.64884,0.75413,0.48155,1.24743,1.04893,1.21669,0.00135756,0.00135756,0.00135756
17,1494.25,1.05068,0.96113,1.14723,0.84697,0.71079,0.80175,0.52735,1.18767,0.93293,1.145,0.00133693,0.00133693,0.00133693
18,1572.08,1.03346,0.92499,1.13875,0.80742,0.74338,0.79359,0.51916,1.1631,0.92141,1.15459,0.0013163,0.0013163,0.0013163
19,1650.11,1.038,0.93682,1.14174,0.85897,0.71965,0.82428,0.53658,1.15991,0.88437,1.13847,0.00129568,0.00129568,0.00129568
20,1728.15,1.03092,0.9334,1.13657,0.88046,0.69774,0.81847,0.52721,1.17704,0.89465,1.14858,0.00127505,0.00127505,0.00127505
21,1806.45,1.01574,0.90184,1.13038,0.82578,0.76219,0.82169,0.54556,1.14375,0.88904,1.13765,0.00125442,0.00125442,0.00125442
22,1884.41,1.01935,0.90268,1.13027,0.88295,0.73005,0.83992,0.55329,1.16987,0.85851,1.15289,0.00123379,0.00123379,0.00123379
23,1962.56,1.02405,0.89602,1.12945,0.8609,0.7314,0.83814,0.56081,1.12955,0.83175,1.11816,0.00121316,0.00121316,0.00121316
24,2042.57,1.00051,0.87653,1.12105,0.8636,0.74794,0.84348,0.55847,1.14369,0.83366,1.13345,0.00119253,0.00119253,0.00119253
25,2121.1,0.99347,0.87017,1.12125,0.86149,0.75256,0.838,0.55497,1.14502,0.81748,1.1336,0.0011719,0.0011719,0.0011719
26,2198.98,0.98747,0.85933,1.11518,0.84314,0.7304,0.82365,0.55522,1.12345,0.83314,1.11301,0.00115127,0.00115127,0.00115127
27,2277.97,0.98033,0.84478,1.11217,0.81598,0.77251,0.83678,0.55517,1.12701,0.84188,1.10989,0.00113064,0.00113064,0.00113064
28,2368.03,0.9861,0.84264,1.11073,0.86907,0.78133,0.85114,0.5668,1.10946,0.82107,1.10807,0.00111001,0.00111001,0.00111001
29,2446.98,0.97176,0.81751,1.10146,0.84004,0.78511,0.8537,0.56819,1.11337,0.78812,1.1171,0.00108938,0.00108938,0.00108938
30,2526.21,0.97009,0.82625,1.10413,0.90051,0.75355,0.85402,0.57057,1.10713,0.81366,1.11111,0.00106876,0.00106876,0.00106876
31,2604.85,0.95839,0.79562,1.09648,0.86028,0.76878,0.85665,0.57972,1.09581,0.7729,1.09975,0.00104813,0.00104813,0.00104813
32,2685.76,0.94722,0.78999,1.09224,0.8645,0.78579,0.86873,0.57977,1.1144,0.76916,1.11041,0.0010275,0.0010275,0.0010275
33,2764.86,0.9498,0.78332,1.09288,0.88693,0.75553,0.85498,0.58067,1.10993,0.76846,1.10757,0.00100687,0.00100687,0.00100687
34,2845.24,0.93758,0.77637,1.08334,0.86124,0.79063,0.86701,0.5906,1.07921,0.75826,1.08524,0.000986239,0.000986239,0.000986239
35,2924.22,0.95457,0.7794,1.08958,0.84369,0.80069,0.87211,0.59053,1.09233,0.72935,1.09894,0.00096561,0.00096561,0.00096561
36,3002.54,0.94127,0.76403,1.08311,0.90167,0.80183,0.88437,0.59106,1.07067,0.73379,1.08017,0.000944981,0.000944981,0.000944981
37,3080.87,0.94052,0.75661,1.08106,0.879,0.81679,0.88,0.59176,1.07536,0.71477,1.08297,0.000924352,0.000924352,0.000924352
38,3159.8,0.91762,0.73772,1.07324,0.86042,0.82136,0.88821,0.60538,1.07259,0.71399,1.07237,0.000903722,0.000903722,0.000903722
39,3241.14,0.91239,0.73001,1.069,0.8929,0.81551,0.88857,0.60226,1.07217,0.70658,1.07302,0.000883093,0.000883093,0.000883093
40,3320.17,0.92503,0.74117,1.07615,0.88306,0.8023,0.88227,0.60482,1.05068,0.70136,1.06903,0.000862464,0.000862464,0.000862464
41,3398.51,0.92504,0.73666,1.06952,0.90557,0.81139,0.8889,0.60788,1.06152,0.70166,1.08011,0.000841835,0.000841835,0.000841835
42,3476.75,0.90367,0.70987,1.05853,0.8781,0.7949,0.88319,0.60552,1.08731,0.70427,1.0811,0.000821206,0.000821206,0.000821206
43,3555.4,0.9103,0.71239,1.06645,0.86913,0.82036,0.89059,0.5989,1.07855,0.69162,1.07666,0.000800577,0.000800577,0.000800577
44,3633.49,0.89828,0.70543,1.06429,0.87658,0.8078,0.88869,0.60432,1.06613,0.69514,1.06951,0.000779948,0.000779948,0.000779948
45,3711.26,0.89763,0.70698,1.05704,0.89208,0.82609,0.89524,0.60641,1.06238,0.66652,1.06914,0.000759318,0.000759318,0.000759318
46,3789.11,0.89481,0.69818,1.05867,0.87602,0.81178,0.88337,0.60943,1.07676,0.68607,1.0847,0.000738689,0.000738689,0.000738689
47,3868.46,0.88621,0.68682,1.05317,0.90927,0.7843,0.89408,0.61307,1.06848,0.67196,1.07807,0.00071806,0.00071806,0.00071806
